XCoord,YCoord,FID
113.89300952,22.45440686,0
114.49488076,22.45440686,1
114.50386391,22.45440686,2
114.51284706,22.45440686,3
113.89300952,22.46270869,4
114.50386391,22.46270869,5
114.51284706,22.46270869,6
114.52183022,22.46270869,7
113.87504321,22.47101003,8
113.88402636,22.47101003,9
113.89300952,22.47101003,10
113.90199267,22.47101003,11
114.48589760,22.47101003,12
114.49488076,22.47101003,13
114.50386391,22.47101003,14
114.51284706,22.47101003,15
114.52183022,22.47101003,16
113.87504321,22.47931087,17
113.88402636,22.47931087,18
113.89300952,22.47931087,19
113.90199267,22.47931087,20
113.91097582,22.47931087,21
114.48589760,22.47931087,22
114.49488076,22.47931087,23
114.50386391,22.47931087,24
114.51284706,22.47931087,25
114.52183022,22.47931087,26
114.53081337,22.47931087,27
114.55776283,22.47931087,28
113.86606006,22.48761121,29
113.87504321,22.48761121,30
113.88402636,22.48761121,31
113.89300952,22.48761121,32
113.90199267,22.48761121,33
113.91097582,22.48761121,34
113.91995898,22.48761121,35
113.92894213,22.48761121,36
114.48589760,22.48761121,37
114.49488076,22.48761121,38
114.50386391,22.48761121,39
114.51284706,22.48761121,40
114.52183022,22.48761121,41
114.53081337,22.48761121,42
114.53979652,22.48761121,43
114.54877967,22.48761121,44
114.55776283,22.48761121,45
114.56674598,22.48761121,46
114.57572913,22.48761121,47
113.86606006,22.49591106,48
113.87504321,22.49591106,49
113.88402636,22.49591106,50
113.89300952,22.49591106,51
113.90199267,22.49591106,52
113.91097582,22.49591106,53
113.91995898,22.49591106,54
113.92894213,22.49591106,55
113.93792528,22.49591106,56
113.94690843,22.49591106,57
114.48589760,22.49591106,58
114.49488076,22.49591106,59
114.50386391,22.49591106,60
114.51284706,22.49591106,61
114.52183022,22.49591106,62
114.53081337,22.49591106,63
114.53979652,22.49591106,64
114.54877967,22.49591106,65
114.55776283,22.49591106,66
114.56674598,22.49591106,67
114.57572913,22.49591106,68
114.58471229,22.49591106,69
